LotFrontage,LotArea,MasVnrArea,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,2ndFlrSF,LowQualFinSF,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,YrSold,MSZoning,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinType2,Heating,HeatingQC,CentralAir,Electrical,KitchenQual,Functional,GarageType,GarageFinish,GarageQual,GarageCond,PavedDrive,SaleType,SaleCondition,MSSubClass,OverallQual,OverallCond,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageCars,MoSold,SalePrice
-0.22937175311444924,-0.20714170777431132,0.5114184144641142,0.5754248369676035,-0.2886528311122454,-0.9445906057378156,1.1618515874685553,-0.12024172373467248,-0.7521758378613592,0.2165031608388436,-0.3593249004055313,-0.11633928614822256,-0.2702083542015609,-0.06869174753820707,-0.08768781151769862,0.1387774889497933,3,1,3,3,0,4,0,5,2,2,0,5,1,1,12,13,2,2,4,2,3,4,4,3,6,1,0,1,5,2,6,2,2,5,5,2,8,4,5,6,4,1,0,2,1,3,1,6,0,2,1,208500
0.4519361005305317,-0.09188637231949037,-0.5744104693040701,1.171992119373828,-0.2886528311122454,-0.6412279930944917,-0.7951632272572445,-0.12024172373467248,1.6261947918523714,-0.704483250333654,-0.3593249004055313,-0.11633928614822256,-0.2702083542015609,-0.06869174753820707,-0.08768781151769862,-0.6144386220786311,3,1,3,3,0,2,0,24,1,2,0,2,1,1,8,8,3,3,4,1,3,4,2,1,6,1,0,1,5,3,6,2,2,5,5,2,8,4,0,5,7,0,1,2,0,3,1,4,1,2,4,181500
-0.09311018238545306,0.07347997855047012,0.32306034279004137,0.09290718208021594,-0.2886528311122454,-0.3016429789415173,1.1893506246778172,-0.12024172373467248,-0.7521758378613592,-0.07036145903455729,-0.3593249004055313,-0.11633928614822256,-0.2702083542015609,-0.06869174753820707,-0.08768781151769862,0.1387774889497933,3,1,0,3,0,4,0,5,2,2,0,5,1,1,12,13,2,2,4,2,3,4,3,3,6,1,0,1,5,2,6,2,2,5,5,2,8,4,5,6,4,1,0,2,1,3,1,4,1,2,8,223500
-0.45647437099610955,-0.09689747386100432,-0.5744104693040701,-0.49927357619066876,-0.2886528311122454,-0.06166956894008201,0.9372761169262505,-0.12024172373467248,-0.7521758378613592,-0.1760484242510734,4.092523739317571,-0.11633928614822256,-0.2702083542015609,-0.06869174753820707,-0.08768781151769862,-1.3676547331070554,3,1,0,3,0,0,0,6,2,2,0,5,1,1,13,15,3,3,4,0,4,2,4,1,6,1,2,1,5,2,6,6,3,5,5,2,8,0,6,6,4,1,0,1,0,3,1,5,1,3,1,140000
0.6336181948358599,0.37514829134961014,1.3645696802819731,0.4635684715164364,-0.2886528311122454,-0.17486457365774016,1.6178772878554806,-0.12024172373467248,0.7801971853099035,0.5637603322645395,-0.3593249004055313,-0.11633928614822256,-0.2702083542015609,-0.06869174753820707,-0.08768781151769862,0.1387774889497933,3,1,0,3,0,2,0,15,2,2,0,5,1,1,12,13,2,2,4,2,3,4,1,3,6,1,0,1,5,2,6,2,2,5,5,2,8,4,5,7,4,1,0,2,1,4,1,7,1,3,11,250000
0.679038718412192,0.3606160968792197,-0.5744104693040701,0.632449650727022,-0.2886528311122454,-1.1392860138521876,0.5018746944462716,-0.12024172373467248,-0.43293145803401284,-0.25153911369144205,-0.3593249004055313,10.802446267979857,-0.2702083542015609,-0.06869174753820707,1.3237359981507422,0.8919935999782177,3,1,0,3,0,4,0,11,2,2,0,0,1,1,12,13,3,3,4,5,3,4,4,3,6,1,0,1,5,3,6,2,3,5,5,2,8,4,4,4,4,1,0,1,1,1,1,3,0,2,9,143000
0.22483348264887137,-0.04337890939763529,0.4560189816187986,2.029557587832776,-0.2886528311122454,-0.5665192899808374,-0.7951632272572445,-0.12024172373467248,1.283007083537974,0.15611060928654868,-0.3593249004055313,-0.11633928614822256,-0.2702083542015609,-0.06869174753820707,-0.08768781151769862,-0.6144386220786311,3,1,3,3,0,4,0,21,2,2,0,2,1,1,12,13,4,2,4,2,1,4,1,3,6,1,0,1,5,2,6,2,2,5,5,2,8,4,0,7,4,1,0,2,0,3,1,5,1,2,7,307000
6.454644616316623e-16,-0.013512744210212127,0.7551759189835024,0.9109939333211048,-0.09022046788626462,-0.7951731995105069,1.45746623746812,-0.12024172373467248,1.1233848936243007,2.3755368788333873,3.37237175348001,-0.11633928614822256,-0.2702083542015609,-0.06869174753820707,0.6180240933165219,0.8919935999782177,3,1,0,3,0,0,0,14,4,2,0,5,1,1,6,6,4,3,4,1,3,4,3,1,2,1,0,1,5,3,6,2,2,5,5,2,8,4,5,6,5,1,0,2,1,3,1,5,2,2,10,200000
-0.8652590831830981,-0.44065903960886155,-0.5744104693040701,-0.9730181828073765,-0.2886528311122454,0.8710572699334213,0.9281097711898298,-0.12024172373467248,-0.03387598324982984,-0.704483250333654,2.9959286699740124,-0.11633928614822256,-0.2702083542015609,-0.06869174753820707,-0.08768781151769862,0.1387774889497933,4,1,3,3,0,4,0,17,0,2,0,0,1,1,3,15,3,3,4,0,4,4,4,6,6,1,2,1,2,3,2,6,3,2,5,2,8,0,4,6,4,0,0,2,0,2,2,6,2,2,3,129900
-0.9106796067594302,-0.31037039952949874,-0.5744104693040701,0.8934478367797453,-0.2886528311122454,-0.9672296066813473,-0.7951632272572445,-0.12024172373467248,-0.7521758378613592,-0.644090698781359,-0.3593249004055313,-0.11633928614822256,-0.2702083542015609,-0.06869174753820707,-0.08768781151769862,0.1387774889497933,3,1,3,3,0,0,0,3,0,0,1,1,1,1,8,8,3,3,4,0,4,4,4,3,6,1,0,1,5,3,6,2,2,3,5,2,8,4,14,4,5,1,0,1,0,2,2,3,2,1,0,118000
